날짜,종가,오픈,고가,저가,거래량,변동 %
2019년 10월 11일,8267.8,8562.2,8751.1,8249.7,667.86K,-3.44%
2019년 10월 10일,8562.3,8566.8,8638.5,8438.7,511.46K,-0.05%
2019년 10월 9일,8566.7,8180.1,8655.9,8122.7,636.43K,4.69%
2019년 10월 8일,8182.9,8198.5,8323.1,8118.1,469.04K,-0.19%
2019년 10월 7일,8198.6,7882.6,8293.5,7797,604.74K,4.02%
2019년 10월 6일,7881.9,8127.3,8145.5,7834.9,448.80K,-3.02%
2019년 10월 5일,8127.3,8148,8185.1,8030.6,360.92K,-0.25%
2019년 10월 4일,8148.1,8227.6,8233.6,8041.4,416.92K,-0.96%
2019년 10월 3일,8226.9,8363.6,8391.7,8090.1,460.97K,-1.64%
2019년 10월 2일,8364.1,8302.7,8374,8167.7,405.86K,0.74%
2019년 10월 1일,8302.7,8285,8486.2,8187.9,533.95K,0.22%
2019년 9월 30일,8284.3,8048.9,8318.5,7749,600.26K,2.92%
2019년 9월 29일,8049.1,8208,8226.8,7922.1,418.48K,-1.94%
2019년 9월 28일,8208.5,8184.5,8297.2,8031.1,457.79K,0.29%
2019년 9월 27일,8184.9,8063.8,8257.4,7882.1,561.40K,1.50%
2019년 9월 26일,8063.8,8432.5,8463.1,7773.6,731.03K,-4.37%
2019년 9월 25일,8432.4,8512.3,8729.8,8245.1,696.11K,-0.96%
2019년 9월 24일,8513.9,9702.7,9793.8,8069.4,933.16K,-12.25%
2019년 9월 23일,9702.2,10031.3,10048.8,9656.3,431.10K,-3.28%
2019년 9월 22일,10031.6,9993,10075,9870.9,337.06K,0.39%
2019년 9월 21일,9993,10172.8,10177.9,9939.8,326.17K,-1.77%
2019년 9월 20일,10172.7,10251.5,10279.5,10088.6,362.07K,-0.76%
2019년 9월 19일,10250.5,10164.6,10297.6,9707.6,542.25K,0.84%
2019년 9월 18일,10164.7,10195.7,10257.5,10119.3,318.82K,-0.30%
2019년 9월 17일,10195.7,10254.6,10273.6,10153.5,321.64K,-0.58%
2019년 9월 16일,10255.5,10311.3,10360.5,10108.5,372.53K,-0.54%
2019년 9월 15일,10311.5,10337.3,10360.4,10272,255.79K,-0.25%
2019년 9월 14일,10337.3,10342.2,10421.4,10253.7,326.44K,-0.05%
2019년 9월 13일,10342.1,10415.2,10441.4,10174.1,365.52K,-0.70%
2019년 9월 12일,10415.1,10162.4,10447.9,10051,413.22K,2.49%
2019년 9월 11일,10162.5,10104.9,10257.5,9908.9,413.06K,0.57%
2019년 9월 10일,10105.4,10308.7,10379.8,9970.7,383.22K,-1.98%
2019년 9월 9일,10309,10402.1,10478,10095.7,473.76K,-0.90%
2019년 9월 8일,10402.8,10461.6,10578,10266.3,339.73K,-0.56%
2019년 9월 7일,10461.1,10306.9,10556.4,10302.3,393.57K,1.47%
2019년 9월 6일,10309.3,10566.7,10896.2,10227.4,643.02K,-2.44%
2019년 9월 5일,10566.9,10567.8,10630.7,10469.9,402.09K,-0.01%
