날짜,종가,오픈,고가,저가,거래량,변동 %
2019년 6월 16일,8962.5,8812.2,9332,8771.1,849.77K,1.70%
2019년 6월 15일,8812.5,8655.8,8856.7,8582.3,608.69K,1.81%
2019년 6월 14일,8656.1,8218.6,8685.3,8153.2,643.17K,5.32%
2019년 6월 13일,8219,8132.4,8306.1,8028.6,574.21K,1.06%
2019년 6월 12일,8133.1,7888,8198.1,7805.8,607.89K,3.11%
2019년 6월 11일,7888,7987.8,8010.4,7714.5,579.00K,-1.25%
2019년 6월 10일,7987.8,7635,8012.8,7523.6,641.38K,4.62%
2019년 6월 9일,7635,7901.6,7937.5,7516.9,554.48K,-3.37%
2019년 6월 8일,7901.4,7985.3,8044.4,7770.5,485.81K,-1.05%
2019년 6월 7일,7985.2,7785.8,8099.4,7749.4,588.87K,2.57%
2019년 6월 6일,7784.9,7779.6,7861.4,7480.4,651.82K,0.08%
2019년 6월 5일,7779.1,7685.6,7885,7590.4,762.94K,1.22%
2019년 6월 4일,7685.5,8118.1,8118.1,7494,966.95K,-5.41%
2019년 6월 3일,8124.8,8728.6,8734.9,8102.7,739.45K,-6.92%
2019년 6월 2일,8728.6,8545.8,8807.7,8534.8,614.54K,2.14%
2019년 6월 1일,8545.7,8556.9,8615.8,8454,686.75K,-0.15%
2019년 5월 31일,8558.3,8271.4,8578.8,8135,858.41K,3.46%
2019년 5월 30일,8271.9,8647.8,9045.9,8054.7,1.04M,-4.35%
2019년 5월 29일,8647.8,8715.6,8747.2,8435.3,15.43M,-0.79%
2019년 5월 28일,8716.3,8759.4,8794.1,8568.8,763.20K,-0.50%
2019년 5월 27일,8760.1,8628.9,8902.8,8607.3,907.96K,1.51%
2019년 5월 26일,8630.2,8029.6,8718.6,7866.5,872.12K,7.51%
2019년 5월 25일,8027.4,7971.4,8090.1,7919.1,691.27K,0.72%
2019년 5월 24일,7970.1,7852.8,8124.1,7775.4,868.47K,1.50%
2019년 5월 23일,7852.1,7637.2,7939.1,7486.8,815.14K,2.83%
2019년 5월 22일,7635.7,7928.7,7999,7545.9,821.40K,-3.72%
2019년 5월 21일,7930.3,7965,8056.8,7813.2,804.88K,-0.44%
2019년 5월 20일,7965.3,8156.4,8156.4,7604,958.81K,-2.35%
2019년 5월 19일,8157.2,7261.9,8253.4,7252.3,1.08M,12.32%
2019년 5월 18일,7262.6,7359.9,7458.5,7189.4,865.53K,-1.32%
2019년 5월 17일,7359.5,7871.9,7924,6998.6,1.43M,-6.51%
2019년 5월 16일,7871.8,8164.8,8293.3,7720.4,1.18M,-3.59%
2019년 5월 15일,8164.6,7994.8,8225.3,7856.5,1.13M,2.13%
2019년 5월 14일,7994.6,7806.4,8323.9,7674,1.33M,2.42%
2019년 5월 13일,7806,6984.7,8058.3,6893.1,1.20M,11.76%
2019년 5월 12일,6984.8,7190,7518.9,6802.6,1.35M,-2.86%
2019년 5월 11일,7190.3,6386.6,7373.8,6386.5,1.31M,12.59%
2019년 5월 10일,6386,6194.3,6466.6,6157.8,907.94K,3.14%
2019년 5월 9일,6191.5,5990.5,6206,5990,799.96K,3.36%
